Nom;Ville;CodePostal;Latitude;Longitude
 Only Kart ; Dagneux ;1120;45,850782;5,075112
 E-Karting & Paintball du Revermont ; Péronnas ;1960;46,176221;5,200486
 Fun Kart ; Le Bar-sur-Loup ;6620;43,697875;6,989825
 Cannes Karting ; Cannes ;6400;43,555468;7,004585
 Karting Antibes ; Antibes ;6600;;
 Karting Douzy ; Douzy ;8140;49,671437;5,039211
 Ardennes Karting ; Douzy ;8140;49,671437;5,039211
 Circuit de Lissartel ; Réquista ;12170;44,035601;2,533862
 Karting Indoor Provence ;Marseille;13000;43,192651;2,39562
 K1 Speed ; Hérouville-Saint-Clair ;14200;49,203723;-0,334757
 Circuit de Caen ; Démouville ;14840;49,179056;-0,269267
 Bowling 868 ; Bayeux ;14400;49,278188;-0,702334
 Karting de Pers ; Pers ;15290;44,911621;2,221618
 Circuit de Haute Saintonge ; La Génétouze ;17360;45,224914;-0,056025
 Karting de Kerlabo ; Ploulec’h ;22300;48,71714;-3,500574
 PYC Karting ; Plérin ;22190;48,547316;-2,782476
 MF Karting ; Trégueux ;22950;48,47876;-2,749857
 Bergerac Karting ; Saint-Laurent-des-Vignes ;24100;44,823136;0,450668
 Karting des 3 Lacs ; Piégut-Pluviers ;24360;45,626799;0,70185
 Karting de Chartres ; Chartres ;28000;48,446525;1,502286
 BKE / GNPK ; Brest ;29200;48,406435;-4,497736
 Karting de Ploumoguer ; Ploumoguer ;29810;48,394943;-4,710581
 Alès Racing System ; Alès ;30100;44,125356;4,089242
 Karting Montaudran ; Toulouse ;31400;43,589648;1,47056
 Défi Kart ; Toulouse ;31100;43,604082;1,433805
 Circuit Number One ; Agde ;34300;43,302779;3,484797
 Loc Karting ; Pérols ;34470;43,567221;3,95229
 BSO Karting ; Caussiniojouls ;34600;43,551497;3,15212
 Karting de Sérignan ; Sérignan ;34410;43,264256;3,296132
 Cap Karting ; Melesse ;35520;48,219365;-1,688582
 Rouah Kart ; Rennes ;35000;48,110899;-1,68365
 Circuit de Lohéac ; Lohéac ;35550;47,86977;-1,88711
 Tours Kart Indoor ; Tours ;37000;47,395476;0,695848
 Blois FD ; Blois ;41000;47,581228;1,316533
 Fast & Green Karting ; Saint-Étienne ;42000;45,430195;4,370045
 Solokart ; Plessé ;44630;47,546488;-1,888071
 Sodikart ; Sautron ;44880;47,275287;-1,679981
 Sodikart ; Saint-Herblain ;44800;47,227082;-1,625284
 Fédération Française de Motocyclisme ; Corcoué-sur-Logne ;44650;46,957237;-1,606814
 City Kart ; Saint-Sébastien-sur-Loire ;44230;47,199355;-1,502678
 Karting Nantes ; Nantes ;44000;;
 Kart Racer ; Saran ;45770;47,946923;1,875773
 Fun Kart Brissac ; Brissac ;49320;47,349603;-0,44335
 Inwall Kart ; Les Ponts-de-Cé ;49130;47,42928;-0,521967
 La Briqueterie Karting ; Angers ;49000;47,467471;-0,561615
 Racing Kart JPR ; Ostricourt ;59162;50,45648;3,029941
 DKS Motors ; Rouvignies ;59220;50,332646;3,448743
 Karting Hazebrouck ; Hazebrouck ;59190;50,719443;2,531796
 Loisiparc Karting ; Maubeuge ;59600;50,284569;3,965341
 Beauvais FD ; Beauvais ;60000;49,439601;2,087703
 Circuit de Croix-en-Ternois ; Croix-en-Ternois ;62130;50,382613;2,279108
 Planet Karting ; Saint-Martin-lez-Tatinghem ;62500;50,754535;2,2261
 KHUB Arras Karting ; Sainte-Catherine ;62223;50,308943;2,762502
 Arras FD ; Arras ;62000;50,287896;2,768267
 Karting Oberlin ; Reichstett ;67116;48,652489;7,751219
 Strasbourg FD ; Strasbourg ;67000;48,579831;7,761454
 Actua Organisation ; Saint-Laurent-de-Mure ;69720;45,681771;5,056161
 Karting Lyon Bully ; Bully ;69210;45,86168;4,57762
 Kart’In ; Vénissieux ;69200;45,707095;4,881379
 Kart Innov ; Lyon ;69000;45,758;4,835
 Park Events ; Lyon ;69000;45,758;4,835
 CKB Karting ; Autoreille ;70700;47,368861;5,812852
 2KSL Karting ;Mâcon;71000;46,325859;4,810979
 Speed Park ; Le Mans ;72000;47,993378;0,191169
 Boca Speed ; Moûtiers ;73600;45,485221;6,531748
 Luka’ring ; Rouen ;76000;49,440044;1,093912
 Espace 76 ; Tourville-la-Rivière ;76410;49,328712;1,093722
 ASK Kartland ; Moissy-Cramayel ;77550;48,625716;2,591478
 Circuit La Ferté-Gaucher ; La Ferté-Gaucher ;77320;;
 SpeedPark ; Servon ;77170;48,713549;2,592945
 City Bowling d’Oz ; Ozoir-la-Ferrière ;77330;48,767283;2,673278
 Claye-Souilly FD ; Claye-Souilly ;77410;48,943181;2,668776
 Brétigny FD ; Brétigny-sur-Orge ;91220;48,603562;2,296311
 Circuit de Vaudoy-en-Brie ; Vaudoy-en-Brie ;77141;48,704034;3,093786
 Les 3 Chênes ; Usseau ;79210;46,172506;-0,579859
 Karting Rouanet ; Aiguefonde ;81200;43,504788;2,329709
 Circuit du Var ; Le Luc ;83340;43,388363;6,299819
 Karting Brignoles ; Brignoles ;83170;43,405995;6,073657
 Prokart ;Toulon;83000;43,136696;5,933796
 Kart Extrême ; Monteux ;84170;44,029925;4,986176
 Circuit de Vendée ;La Roche-sur-Yon;85000;;
 Mecamax ; L’Île-d’Olonne ;85340;46,568271;-1,77118
 Speed Park ; Brétigny-sur-Orge ;91220;48,603562;2,296311
 Smileworld ; Malakoff ;92240;48,81742;2,294086
 Prokart ; Figari ;20114;41,510497;9,128562
